permutation	qualifying_units	median_variance
852	76	664.4583333333334
853	76	943.6875
854	75	683.675
855	76	872.6458333333333
856	77	645.3333333333334
857	74	1032.5833333333333
858	76	979.2916666666667
859	72	1032.9166666666665
860	70	1011.6416666666667
861	75	1352.25
862	77	1249.2
863	75	967.0
864	81	1020.9166666666666
865	72	1071.625
866	76	1052.6416666666667
867	72	943.6875
868	81	645.3333333333334
869	73	1170.2
870	80	1032.3333333333333
871	78	574.0416666666667
872	80	964.1666666666667
873	80	825.3375
874	72	979.2916666666667
875	76	979.2916666666667
876	74	1136.125
877	76	1011.6416666666667
878	71	920.375
879	77	661.0
880	79	507.7
881	80	990.8333333333333
882	73	683.675
883	78	1261.7666666666667
884	70	482.01666666666665
885	75	646.3333333333334
886	72	1161.3916666666667
887	78	650.5041666666666
888	75	1069.6666666666667
889	75	967.0
890	75	967.0
891	78	1307.25
892	78	653.1666666666667
893	77	1249.2
894	76	665.0041666666666
895	74	754.2958333333333
896	73	1249.2
897	77	967.0
898	76	1161.3916666666667
899	80	1006.25
900	81	507.7
901	77	936.175
902	76	672.3375
903	76	979.2916666666667
904	84	1032.5833333333333
905	74	1050.2916666666665
906	76	943.6875
907	76	827.5
908	76	1261.7666666666667
909	73	1106.5833333333333
910	78	1121.8916666666667
911	75	1274.3333333333333
912	78	653.6666666666667
913	80	683.1291666666666
914	76	979.2916666666667
915	78	1307.2666666666667
916	81	991.5833333333334
917	78	938.3333333333333
918	79	850.0833333333334
919	74	885.2291666666667
920	69	991.5833333333334
921	75	1073.5833333333333
922	82	584.35
923	76	802.025
924	79	822.3333333333334
925	79	544.7857142857143
926	79	824.9166666666666
927	72	1080.8916666666667
928	77	456.3333333333333
929	80	790.6875
930	77	920.375
931	74	837.5
932	77	1073.5833333333333
933	72	1307.2666666666667
934	74	1161.3916666666667
935	74	979.2916666666667
936	78	1011.975
937	77	1106.5833333333333
938	78	766.8791666666666
939	73	850.0833333333334
940	76	1223.9333333333334
941	75	1106.5833333333333
942	73	824.9166666666666
943	76	1032.5833333333333
944	73	1249.2
945	74	803.3333333333334
946	74	979.2916666666667
947	81	1198.6666666666667
